"Device","Standard Name","Display Name","Units","Timestamp","Timezone","Value"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 00:00","undefined","36.37"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 00:15","undefined","35.61"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 00:30","undefined","33.28"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 00:45","undefined","34.17"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 01:00","undefined","34.05"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 01:15","undefined","34.96"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 01:30","undefined","34.95"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 01:45","undefined","34.77"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 02:00","undefined","34.5"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 02:15","undefined","34.63"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 02:30","undefined","33.42"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 02:45","undefined","34.22"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 03:00","undefined","34.05"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 03:15","undefined","34.66"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 03:30","undefined","34.28"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 03:45","undefined","33.97"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 04:00","undefined","33.78"
